Model,Group,Desc,k,Train_R2,LOO_R2,LOO_RMSE,AIC,BIC,ΔBIC
M0: Baseline HP,A: H₀ only,H₀ + k_H·d⁻¹/²,3,0.16875194690745154,0.1356177234369873,31.04630051799171,648.1960093403128,655.8258936871229,0.0
M1: H₀(V),A: H₀ only,(H₀₀ + α_V·V) + k_H·d⁻¹/²,4,0.17176291712591485,0.109707470848877,31.50817832705913,649.854901722069,660.0280808511491,4.202187164026213
M3: H₀(all elem),A: H₀ only,(H₀₀ + Σα_i·x_i) + k_H·d⁻¹/²,10,0.2311011684965092,0.0445694539963124,32.64047658294727,654.8669376767256,680.2998854994256,24.473991812302756
M4: k_H(V),B: k_H only,H₀ + (k₀ + β_V·V)·d⁻¹/²,4,0.17448796393741428,0.11624534243936058,31.392274847937657,649.5451151538542,659.7182942829343,3.8924005958114094
M6: k_H(all elem),B: k_H only,H₀ + (k₀ + Σβ_i·x_i)·d⁻¹/²,10,0.2318640809104967,0.04843860084921159,32.57431849574082,654.773623231133,680.206571053833,24.380677366710188
M10: H₀(all)+k_H(all),C: Both,(H₀₀+Σα·x) + (k₀+Σβ·x)·d⁻¹/²,17,0.32599087655093006,0.04292644665437029,32.66852964609208,656.4856566839051,699.7216679824951,43.895774295372235
