dim,k_eff,Train_R2,Train_RMSE,AIC,AICc,BIC,equation
1,2,0.595375451073979,51.59566964982472,737.4794210258647,737.612754359198,742.5446200121712,1562.867306*(d_inv_045/Omega)+170.4929138122484
2,3,0.6940380900482203,44.86635837290353,713.4860158367622,713.7556787581105,721.0838143162221, + 3961.3571016358*(EN_delta/Omega)  -0.6695456252*(mu_mean*ln_d)  +374.7523461639644
3,4,0.7217586811712263,42.78563194344276,706.6536359786292,707.1081814331747,716.7840339512422, + 15071.4301592482*(EN_var/Omega)   + 53.6559566020*(VEC_mean-ln_d)   + 38250.0406975894*(r_delta/r_range)  -142.20408977443617
4,5,0.740852005840365,41.29153853919671,702.0423137843397,702.7319689567536,714.705311250106, + 71.9570514476*(r_var/r_range)   + 11011.6476733534*(d_inv_060/dS_mix)   + 660.1322933539*(EN_var*VEC_mean)  -1467.5239619639*(dH_mix/mu_var)  -25.560254280142715
