equation,R2_full_data,RMSE_full_data,n_valid,R2_5fold,RMSE_5fold,R2_LOO,RMSE_LOO,R2_LOBO,RMSE_LOBO
elbow_F3O2,-29.809770429633232,185.35365802704385,94.0,,,,,,
accuracy_F3O3,-27.85587953051547,179.38002837002924,94.0,,,,,,
elbow_F3O2_refit,,,,0.7254603456165952,17.496834003003144,0.7266350397876608,17.459361343519998,0.6356118499804639,20.15761067016391
