Model,n_terms,LOO_R2,LOO_RMSE,LOO_MAE,LOBO_R2,Train_R2,k_eff,AIC,AICc,BIC,Equation
SISSO Full,3,0.6650082153784909,46.94660784769677,30.454028391100525,0.3804566662097175,0.7299796881508525,4,703.8644166902479,704.3189621447934,713.994814662861, + 120.4515098926*(r_var/r_range)   + 9356.2556899591*(d_inv_sqrt/dS_mix)   + 1133.7096001857*(EN_va
SISSO σ₀(comp)+HP,3,0.5987605215424779,51.37939285320089,36.90473764455531,0.4025366769860831,0.7118190868769162,5,711.9179046371203,712.6075598095341,724.5809021028865,σ₀=-2.1971742092*(dH_mix/Tm_delta)   + 5187.1347376858*(EN_var*VEC_mean)  -9426.923
SISSO k_HP(comp),3,0.6188441928336214,50.07701226859408,35.48296990059093,0.2658829642300121,0.708181795134846,5,713.0843635371185,713.7740187095324,725.7473610028848,k_HP=-12.5219911616*(dH_mix/Tm_delta)   + 29267.8526567972*(EN_var*VEC_mean)  -85730.
