,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
Hall–Petch (d⁻¹ᐟ²),0,-518.4797903780106,4.206564248862833,0.0,0.9999999999999938,11.504352742582263,0.0,False,log
Composite (d⁻¹ᐟ² + d⁻¹),1,-518.5380277294414,4.248598484517402,0.05823735143081343,0.0,11.554421119103255,0.12493455821481947,False,log
Crit. thickness (ln d/d),2,-518.5416853120121,4.308095123935686,0.0618949340014332,5.804823824883507e-15,11.701695937158691,0.3317495781197263,False,log
Intermediate (d⁻²ᐟ³),3,-518.6950588984164,4.401240887562835,0.21526852040559596,0.0,11.7562287677132,0.427309763760877,False,log
Baldwin (d⁻¹ᐟ³),4,-518.7063221707896,4.228655859049695,0.22653179277881108,3.1307447477760607e-16,11.364235388540227,0.41078691763497094,False,log
Optimized exponent (d⁻ⁿ),5,-518.7997125121497,4.469372624887342,0.3199221341389382,0.0,11.608317240719396,0.1548062820263327,False,log
Logarithmic (ln d),6,-519.6885203069733,3.893685631628273,1.2087299289625975,8.829742492721948e-16,10.811731005993657,1.4876451636911734,False,log
Dunstan–Bushby (d⁻¹),7,-520.3265527402713,4.314718987721676,1.846762362260531,1.3289963717565818e-16,11.727949102981992,1.3836132916227417,False,log
