Depth,Leaves,k_eff,Train_R2,AIC,BIC,LOO_R2,LOO_RMSE,LOO_MAE,LOBO_R2
1,2,20,0.7685611033498124,721.5255565427384,772.1775464058035,0.32053943624821557,66.86044563064388,46.663750423328565,-1.0167070953867947
2,4,38,0.7865738589746928,749.9902255730651,846.2290063128888,-3.236081819516029,166.9434211713922,64.74626266418609,
3,8,74,0.8944438657746524,756.5137671751272,943.9261296684682,-0.8349340094554156,109.87461451153494,62.80426130708268,
