feature_set,n_features,max_VIF,mean_VIF,condition_number,n_above_10
M3 (7 elements + d^-1/2),8,2.916247224727167,2.0206941077335396,4.142088060233655,0
F3 (Wen + grain + proc),11,8.204445562820569,3.3394530457145994,7.528335377196984,0
Curated Wen + SD + 1/sqrt(d),8,7.525790292628574,3.5640117967153833,6.531147048635795,0
Curated Wen + SD (after PCA),6,1.0000000000000004,1.0,3.268096356545465,0
