Scaling,k,Train_R2,LOO_R2,LOO_RMSE,AIC,BIC,intercept,slope,ΔBIC
d^(-1.728) [Optimized],3,0.1934422472009999,0.16582040064095405,30.499078134184643,645.3616512494609,652.991535596271,117.6761442590499,7622.918391328984,0.0
d^(-1) [Dunstan-Bushby],2,0.18530032991071754,0.15431591731028638,30.70867007407193,646.3057908396377,653.9356751864477,107.69625111920524,1018.6707984858722,0.9441395901767464
d^(-2/3),2,0.1752774159167081,0.14280406755049724,30.916974022489022,647.4551782554173,655.0850626022274,97.04959961515755,438.0499443357857,2.093527005956389
ln(d)/d [Crit. thickness],2,0.173585862362865,0.14083678720925386,30.952431200823085,647.6477802218058,655.2776645686158,99.98270818710404,375.7255016322929,2.286128972344841
d^(-1/2) [Hall-Petch],2,0.16875194690745154,0.1356177234369873,31.04630051799171,648.1960093403128,655.8258936871229,86.7396856350745,306.2284334119382,2.834358090851879
d^(-1/3) [Baldwin],2,0.16131748636551846,0.1275992021103599,31.189970020914586,649.0329829509558,656.6628672977658,66.38991107420811,237.30737747168882,3.6713317014948643
1/√d + 1/d [Composite],3,0.192040866374111,0.15064830295398157,30.775187650249556,647.5248329813054,657.6980121103854,134.71448628293618,-367.68871100646396,4.706476514114456
ln(d),2,0.14427069233382528,0.10965310034795817,31.509140420544274,650.9244389532115,658.5543233000216,211.24806075348343,-20.171495218924377,5.562787703750587
