variant,equation,train_r2,loo_r2,loo_rmse,lobo_r2,bic,n_unphysical
v1_baseline, + 120.4515098926*(r_var/r_range)   + 9356.2556899591*(d_inv_sqrt/dS_mix)   + 1133.7096001857*(EN_var/delta_mu)  -43.33205128031409,0.7299796881508525,0.6662748971079943,46.8577657719158,0.38045613739464057,713.994814662861,1
no_delta_mu, + 4805.9206633910*(r_var/sigma_TC)   + 9187.1851759538*(d_inv_sqrt/dS_mix)   + 6110.8533981554*(EN_var-Phi_VLC)  -110.3997851598358,0.7223889759247835,0.6085598439907267,50.74810470407679,0.35817406747680414,716.5731238491178,0
no_deltas, + 4805.9206633910*(r_var/sigma_TC)   + 9187.1851759538*(d_inv_sqrt/dS_mix)   + 6110.8533981554*(EN_var-Phi_VLC)  -110.3997851598358,0.7223889759247835,0.597134577874633,51.48339001905894,0.41265080120032815,716.5731238491178,0
swap_mu_var, + 4805.9206633910*(r_var/sigma_TC)   + 9187.1851759538*(d_inv_sqrt/dS_mix)   + 6110.8533981554*(EN_var-Phi_VLC)  -110.3997851598358,0.7223889759247835,0.6085598439907267,50.74810470407679,0.35817406747680414,716.5731238491178,0
v2_dim3, + 15071.4301592482*(EN_var/Omega)   + 53.6559566020*(VEC_mean-ln_d)   + 38250.0406975894*(r_delta/r_range)  -142.20408977443617,0.7217586811712263,0.6042287083512816,51.028086547841454,0.3504054806122731,716.7840339512422,0
